protein_id,protein_name,verified_activity,organism_id,organism_name,phylum,substrates, EMBL-GenBank-DDBJ_CDS,EMBL-GenBank-DDBJ_CDS,MGnify,PDB,RefSeq_Protein,UniParc,UniProtKB,UniRef100,UniRef50,UniRef90,literature_dois,sequence_length
11,Mors1,1,10,Moraxella sp. TA144,Pseudomonadota,PEF|PET,,CAA37220.1;CAA37220,,8SPK,,UPI000012E6AB,P19833,UniRef100_P19833,UniRef50_P19833,UniRef90_P19833,https://doi.org/10.1128/AEM.01842-21|10.1039/D4SU00722K|10.1016/j.jhazmat.2022.128900,319
12,PpEst,1,11,Ectopseudomonas oleovorans,Pseudomonadota,PBAT|PET,,CDM40731;CDM40731.1;MDH1341286;MDH1341286.1;SUD53360;SUD53360.1;SUD60278;SUD60278.1,,,WP_003460012.1,UPI000273702F,W6R2Y2;A0A061D1S0,UniRef100_A0A061D1S0,UniRef50_Q9HZY8,UniRef90_A0A653BCE8,https://doi.org/10.1016/j.jbiotec.2017.01.012|https://doi.org/10.1007/s00253-016-7992-8,201
13,MG8,1,12,Pseudomonas sp.,Pseudomonadota,PET,,,MGYP000532440779,,,,,,,,https://doi.org/10.1002/anie.202203061,307
14,EstB,1,13,Pseudomonas sp. B10,Pseudomonadota,PET,,UFQ01240,,,WP_085690612;WP_085690612.1,UPI000A1DF6D3,A0ABY3Q520,UniRef100_A0A3T0JPS3,UniRef50_Q53547,UniRef90_A0A448DQ89,https://doi.org/10.3390/ijms23105612,218
15,RgPETase,1,14,Piscinibacter gummiphilus,Pseudomonadota,PET,,ARN19491.1;ARN19491,,7DZT;7DZU;7DZV,WP_085749752.1,UPI000A201A5A,A0A1W6L588,UniRef100_A0A1W6L588,UniRef50_A0A0K8P6T7,UniRef90_A0A1W6L588,https://doi.org/10.1016/j.jhazmat.2021.126075|https://doi.org/10.1002/cssc.202202277,292
16,LCC,1,15,,Actinomycetota,PC|PEF|PET|PUR,,AEV21261.1;AEV21261,,4EB0;6THS;6THT;7VVC;7VVE;7W1N;7W44;7W45;7DS7;8CMV;8JMO;8JMP;8OTA;8QRJ;9QYP;9QYQ;9QYR;9QYS;9QYT;9QYU,,UPI000243C995,G9BY57,UniRef100_G9BY57,UniRef50_Q6A0I4,UniRef90_G9BY57,https://doi.org/10.1128/aem.06725-11|https://doi.org/10.1021/acs.biochem.7b01189|https://doi.org/10.1038/s41586-020-2149-4|https://doi.org/10.3390/polym9020065|10.1021/acssuschemeng.4c00915|10.1002/cssc.202500944,293
17,BhrPETase,1,16,bacterium HR29,,PC|PET,,GBD22443.1;GBD22443,,7EOA,,UPI000CB4D10C,A0A2H5Z9R5;A0ACD6B9U1,UniRef100_A0ACD6B9U1,UniRef50_A0ACD6B9U1,UniRef90_A0ACD6B9U1,https://doi.org/10.1016/j.enzmictec.2020.109715|10.1002/cssc.202500944,293
18,Cut190,1,17,Saccharomonospora viridis,Actinomycetota,PET,,BAO42836.1;BAO42836;KHF45735;KHF45735.1;ACU97777,,4WFI;4WFJ;4WFK;5ZNO;5ZRQ;5ZRR;5ZRS;7CEF;7CEH;7CTR;7CTS;8IBL;8IBM;8Z2G;8Z2H;8Z2I;8Z2J;8Z2K,WP_015787089.1,UPI0001A384FF,W0TJ64;C7MVE8,UniRef100_C7MVE8,UniRef50_A0A543NNU7;UniRef50_A0A365HAJ8,UniRef90_C7MVE8,https://doi.org/10.1007/s00253-014-6272-8|https://doi.org/10.1007/s00253-014-5860-y|https://doi.org/10.1007/s00253-018-9374-x,304
19,BTA-1,1,18,Thermobifida fusca,Actinomycetota,PET,,CAH17553.1;AET05799.1;ADM47605.1;ADV92528.1;CBY05530.1;ADM47605;ADV92528;AET05799;CAH17553;CBY05530,,4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR,,UPI00003C5D7A,Q6A0I4,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1007/s00449-006-0069-9|https://doi.org/10.1002/marc.200500410|https://doi.org/10.1128/aem.64.5.1731-1735.1998|https://doi.org/10.1021/bm049582t,301
20,BTA-2,1,18,Thermobifida fusca,Actinomycetota,PET,,CAH17554.1;CAH17554,,,,UPI00004034DC,Q6A0I3,UniRef100_Q6A0I3,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1007/s00449-006-0069-9|https://doi.org/10.1002/marc.200500410|https://doi.org/10.1128/aem.64.5.1731-1735.1998|https://doi.org/10.1021/bm049582t,301
21,TfH42_Cut1,1,18,Thermobifida fusca,Actinomycetota,PET,,ADV92528.1;ADM47605;ADV92528;AET05799;CAH17553;CBY05530,,4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR,,UPI00003C5D7A,Q6A0I4,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1021/ma200949p,262
22,Tfu_0883,1,18,Thermobifida fusca,Actinomycetota,PET,,AAZ54921.1;AAZ54921;EOR72035,,,WP_011291330.1,UPI00003C5D7A,Q47RJ6;A0A9P2TBN9,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1074/jbc.m800848200|https://doi.org/10.1128/aem.00239-13|https://doi.org/10.1128/jb.01899-06,301
23,Tfu_0882,1,18,Thermobifida fusca,Actinomycetota,PET,,AAZ54920.1;AAZ54920,,,,UPI0000585AC8,Q47RJ7,UniRef100_G8GER6,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1074/jbc.m800848200,319
24,TfCut_1,1,18,Thermobifida fusca,Actinomycetota,PET,,CBY05529.1;CBY05529,,,,UPI0001F244C8,E5BBQ2,UniRef100_E5BBQ2,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1021/ma200949p,319
25,TfCut_2,1,18,Thermobifida fusca,Actinomycetota,PEF|PET|PUR,,CBY05530;ADM47605;ADV92528;AET05799;CAH17553,,4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR,,UPI00003C5D7A,Q6A0I4,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1038/s41598-019-52379-z|https://doi.org/10.1007/s00253-014-5672-0|https://doi.org/10.1002/bit.25941|https://doi.org/10.3390/polym9020065|10.1039/D4SU00722K,301
26,Cut1,1,18,Thermobifida fusca,Actinomycetota,PET,,AET05798.1;AET05798,,,,UPI0000585AC8,G8GER6,UniRef100_G8GER6,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1007/s12010-013-0219-x,319
27,Cut2,1,18,Thermobifida fusca,Actinomycetota,PET,,AET05799.1;ADM47605;ADV92528;AET05799;CAH17553;CBY05530,,4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR,,UPI00003C5D7A,Q6A0I4,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1007/s12010-013-0219-x,301
28,Thc_Cut1,1,23,Thermobifida cellulosilytica,Actinomycetota,PBAT|PC|PEF|PET|PLA,,ADV92526.1;ADV92526,,5LUI,,UPI0001F734C7,E9LVH8,UniRef100_E9LVH8,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1021/ma200949p|https://doi.org/10.1002/bit.26372|https://doi.org/10.1016/j.nbt.2015.11.004|10.1016/j.jbiotec.2016.02.006|10.3390/catal7110318|10.1002/cssc.202500944,265
29,Thc_Cut2,1,23,Thermobifida cellulosilytica,Actinomycetota,PET|PLA,,ADV92527.1;ADV92527,,5LUJ;5LUK;5LUL;7QJS,,UPI0001F734C8,E9LVH9,UniRef100_E9LVH9,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1021/ma200949p|https://doi.org/10.1002/bit.26372,265
30,Tcur_1278,1,24,Thermomonospora curvata,Actinomycetota,PET|PUR,,ACY96861.1;ACY96861,,7YKO;7YKP;7YKQ;8GZD,WP_012851645.1,UPI00019ECFA3,D1A9G5,UniRef100_D1A9G5,UniRef50_D1A9G5;UniRef50_A0A1H5UML9,UniRef90_D1A9G5,https://doi.org/10.1186/s13568-014-0044-9,289
31,Tcur0390,1,24,Thermomonospora curvata,Actinomycetota,PET|PUR,,ACY95991.1;ACY95991,,,WP_012850775.1,UPI00019ED271,D1A2H1,UniRef100_D1A2H1,UniRef50_D1A9G5;UniRef50_Q9L2J6,UniRef90_D1A2H1,https://doi.org/10.1186/s13568-014-0044-9,292
32,Thh_Est,1,25,Thermobifida halotolerans,Actinomycetota,PET,,AFA45122.1;AFA45122,,,,UPI00024FB2DC,H6WX58,UniRef100_H6WX58,UniRef50_Q6A0I4,UniRef90_A0AA97M4A3,https://doi.org/10.3390/polym4010617,262
33,Est1,1,88,Thermobifida alba,Actinomycetota,PBAT|PET,,BAI99230.2;BAI99230,,,,UPI0002170DC6,D4Q9N1,UniRef100_D4Q9N1,UniRef50_Q6A0I4,UniRef90_F7IX06,https://doi.org/10.1007/s00253-010-2555-x|https://doi.org/10.1016/j.jbiosc.2015.03.006|https://doi.org/10.1038/s41467-022-35237-x,296
34,Tha_Cut1,1,88,Thermobifida alba,Actinomycetota,PET,,,,,,,,,,,https://doi.org/10.3109/10242422.2012.644435,262
35,Est119,1,88,Thermobifida alba,Actinomycetota,PBAT|PET|PLA,,BAK48590.1;BAK48590,,3VIS;3WYN;6AID,,UPI0001CF81E0,F7IX06,UniRef100_F7IX06,UniRef50_Q6A0I4,UniRef90_F7IX06,https://doi.org/10.1111/febs.14781|https://doi.org/10.1007/s00253-011-3781-6|https://doi.org/10.1007/s00253-010-2555-x,300
36,BsEstB,1,28,Bacillus subtilis,Bacillota,PET,,ADH43200.1;ADH43200,,,,UPI0001D9996A,D7R6G8,UniRef100_D7R6G8,UniRef50_P37967,UniRef90_P37967,https://doi.org/10.1002/btpr.610,489
37,PHL-7,1,122,Compost metagenome,,PC|PEF|PET,,,,7NEI,,,,,,,https://doi.org/10.1002/cssc.202101062|https://doi.org/10.1021/acscatal.2c02275|10.1039/D4SU00722K|10.1002/cssc.202500944,267
38,PET27,1,30,Aequorivita sp. CIP111184,Bacteroidota,PET,,,,,WP_111881932,,,,,,https://doi.org/10.3389/fmicb.2021.803896,364
39,PET30,1,31,Kaistella jeonii,Bacteroidota,PET,,KIA88187;KIA88187.1,,7PZJ,WP_039353427;WP_039353427.1,UPI00057C759D,A0A0C1F4U8,UniRef100_A0A0C1F4U8,UniRef50_K4IHP4,UniRef90_A0A0C1F4U8,https://doi.org/10.3389/fmicb.2021.803896,366
40,PET2,1,32,Metagenome-derived with  no obvious affiliation,,PET,,ACC95208.1;ACC95208,,7EC8;7ECB,,UPI00019DBCBC,C3RYL0;A0ACD6B8G0,UniRef100_A0ACD6B8G0,UniRef50_A0A2K9LJV9,UniRef90_A0ACD6B8G0,https://doi.org/10.1128/aem.02773-17|https://doi.org/10.1021/acscatal.1c01204,308
41,PET46,1,33,Candidatus Bathyarchaeota archaeon,Candidatus Bathyarchaeota,PET,,RLI42440.1;RLI42440,,8B4U,,UPI000F145A36,A0A497NK85;A0ACD6BAI4,UniRef100_A0ACD6BAI4,UniRef50_A0ACD6BAI4,UniRef90_A0ACD6BAI4,https://doi.org/10.1038/s42004-023-00998-z,262
42,CalB,1,77,Moesziomyces antarcticus,Basidiomycota,PC|PET|PUR,,CAA83122.1;CAA83122;GAC74513;GAC74513.1,,1LBS;1LBT;1TCA;1TCB;1TCC;3ICV;3ICW;3W9B;4K5Q;4K6G;4K6H;4K6K;4ZV7;5A6V;5A71;5GV5;6ISP;6ISQ;6ISR;6J1P;6J1Q;6J1R;6J1S;6J1T;6TP8;9EVI;9FDE,,UPI000012E6E9;UPI0002C1A635,P41365;M9MDK9,UniRef100_P41365;UniRef100_A0A2Z5XE61,UniRef50_P41365,UniRef90_P41365,https://doi.org/10.1021/ma9005318|https://doi.org/10.1016/j.procbio.2016.07.023|https://doi.org/10.1002/cssc.202100243|10.1016/j.enzmictec.2010.09.011,342
43,FsC,1,34,Fusarium solani,Ascomycota,PET,,AAA33335.1;AAA33334;AAA33334.1;AAA33335,,1AGY;1CEX;1CUA;1CUB;1CUC;1CUD;1CUE;1CUF;1CUG;1CUH;1CUI;1CUJ;1CUS;1CUU;1CUV;1CUW;1CUX;1CUY;1CUZ;1FFA;1FFB;1FFC;1FFD;1FFE;1OXM;1XZA;1XZB;1XZC;1XZD;1XZE;1XZF;1XZG;1XZH;1XZI;1XZJ;1XZK;1XZL;1XZM;2CUT;3EF3;3ESA;3ESB;3ESC;3ESD;3QPA;3QPC,,UPI0000128702,P00590,UniRef100_P00590,UniRef50_P00590,UniRef90_P00590,https://doi.org/10.1016/j.procbio.2016.07.023|https://doi.org/10.1002/pola.20684,230
44,HiC,1,35,Mycothermus thermophilus,Ascomycota,PBAT|PEF|PET,,,,4OYY;4OYL,,UPI0000046655,A0A075B5G4,UniRef100_A0A075B5G4,UniRef50_A0A9P8VK17,UniRef90_A0A075B5G4,https://doi.org/10.1021/ma9005318|https://doi.org/10.1016/j.procbio.2016.07.023|https://doi.org/10.1016/j.nbt.2015.11.004|10.3390/catal7110318,194
120,Cbotu_EstA,1,90,Clostridium botulinum,Bacillota,PBAT|PET,,AKZ20828.1,,,,,,,,,https://doi.org/10.1002/bit.25874,452
132,101,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,302
133,102,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,297
134,202,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,380
135,204,1,163,Thermofilum sp.,Thermoproteota,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,242
136,211,1,33,Candidatus Bathyarchaeota archaeon,Candidatus Bathyarchaeota,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,264
137,214,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,240
138,301,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,211
139,305,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,232
140,307,1,97,Environmental sample,,PET,,,,,,,,,,,https://doi.org/10.1038/s41467-022-35237-x,178
141,403,1,98,Ketobacter sp.,Pseudomonadota,PET,,RLU00646.1,,,,UPI000F2289D4,A0A3L8BW54,,,,https://doi.org/10.1038/s41467-022-35237-x,284
142,405,1,99,Actinobacteria bacterium OK074,Actinomycetota,PET,,KPI12031.1,,,,UPI0006CE1F22,A0A0N0MY27,,,,https://doi.org/10.1038/s41467-022-35237-x,275
143,406,1,100,Comamonadaceae bacterium,Pseudomonadota,PET,,ODU60407.1,,,,UPI00086A1D61,A0A1E4LW26,,,,https://doi.org/10.1038/s41467-022-35237-x,305
144,407,1,101,Allorhizocola rhizosphaerae,Actinomycetota,PET,,,,,WP_162908185.1,,,,,,https://doi.org/10.1038/s41467-022-35237-x,393
145,409,1,98,Ketobacter sp.,Pseudomonadota,PET,,RLT92980.1,,,,UPI000F22754E,A0A3L8BDT3,,,,https://doi.org/10.1038/s41467-022-35237-x,269
146,412,1,102,Ketobacter alkanivorans,Pseudomonadota,PET,,,,,WP_158643351.1,,,,,,https://doi.org/10.1038/s41467-022-35237-x,283
147,503,1,103,Nocardioidaceae bacterium,Actinomycetota,PET,,EGD44994.1,,,,UPI000202904A,E9UPM2,,,,https://doi.org/10.1038/s41467-022-35237-x,259
148,CtPl,1,104,Caldimonas taiwanensis,Pseudomonadota,PET,,,,,WP_062195544.1,,,,,,https://doi.org/10.1038/s41467-022-35237-x|https://doi.org/10.1038/s41929-021-00616-y,270
149,606,1,105,Marinactinospora thermotolerans,Actinomycetota,PET,,SJZ42839.1;SJZ42839,,7QJO;8XHO,,UPI000999F173,A0A1T4KK94,UniRef100_A0A1T4KK94,UniRef50_A0A4V0ZKB9;UniRef50_Q6A0I4,UniRef90_A0A1T4KK94,https://doi.org/10.1038/s41467-022-35237-x|https://doi.org/10.3389/fbioe.2022.865787,263
150,607-Nsp,1,107,Actinobacteria bacterium OV320,Actinomycetota,PET,,KPI31299.1,,,,UPI0006BAE6A8,A0A0N0NEY5,,,,https://doi.org/10.1038/s41467-022-35237-x,310
151,611,1,106,Saccharopolyspora flava,Actinomycetota,PET,,SFS31492.1;SFS31492,,7QJP;9EWR,WP_093412886.1,UPI0008E1369A,A0A1I6NU60,UniRef100_A0A1I6NU60,UniRef50_A0A4V0ZKB9;UniRef50_A0A365HAJ8,UniRef90_A0A1I6NU60,https://doi.org/10.1038/s41467-022-35237-x,261
152,701,1,18,Thermobifida fusca,Actinomycetota,PET,,,,,WP_104613137.1,,,,,,https://doi.org/10.1038/s41467-022-35237-x,262
153,702,1,18,Thermobifida fusca,Actinomycetota,PET,,ADM47605.1;ADM47605;ADV92528;AET05799;CAH17553;CBY05530,,4CG1;4CG2;4CG3;5ZOA;7QJQ;7QJR,,UPI00003C5D7A,Q6A0I4,UniRef100_Q6A0I4,UniRef50_Q6A0I4,UniRef90_Q6A0I4,https://doi.org/10.1038/s41467-022-35237-x,263
154,711,1,23,Thermobifida cellulosilytica,Actinomycetota,PET,,,,,WP_083947829,,,,,,https://doi.org/10.1038/s41467-022-35237-x,261
170,RCut,1,119,Rhodococcus sp. (in: high G+C Gram-positive bacteria),Actinomycetota,PET,,UNZ22463.1,,,,,,,,,https://doi.org/10.1016/j.pep.2022.106077,216
171,PHL-2,1,15,,Actinomycetota,PET,,SAY37582.1,,,,,,,,,https://doi.org/10.1002/cssc.202101062,260
172,PHL-1,1,15,,Actinomycetota,PET,,SAY37579.1,,,,,,,,,https://doi.org/10.1002/cssc.202101062,260
173,PHL-3,1,121,Compost metagenome,Bacillota,PET,SAY37583.1,,,,,,,,,,https://doi.org/10.1002/cssc.202101062,259
174,PHL-4,1,122,Compost metagenome,,PET,,SAY37584.1,,,,,,,,,https://doi.org/10.1002/cssc.202101062,257
175,PHL-5,1,122,Compost metagenome,,PET,,SAY37587,,,,,,,,,https://doi.org/10.1002/cssc.202101062,257
176,PHL-6,1,122,Compost metagenome,,PET,,SAY37589,,,,,,,,,https://doi.org/10.1002/cssc.202101062,257
177,Sub1,1,123,Streptomyces scabiei,Actinomycetota,PET,,QEX94755,,,,UPI0012A98EE0,A0A5P3LVN0,UniRef100_A0A5P3LVN0,UniRef50_A0A117NXB1,UniRef90_A0A8I0TPX8,https://doi.org/10.1264/jsme2.ME19086,186
178,RgCut-2,1,14,Piscinibacter gummiphilus,Pseudomonadota,PET,,ARN19002;ARN19002.1,,8AIR,WP_085749238;WP_085749238.1,UPI000A2021CE,A0A1W6L438,UniRef100_A0A1W6L438,UniRef50_Q8RR62,UniRef90_A0A1W6L438,https://doi.org/10.1002/cssc.202202277,279
179,PsCut,1,125,Pseudomonas saudimassiliensis,Pseudomonadota,PET,,CEA05385;CEF27108,,8AIS,WP_044499735.1,UPI0004ED7BDE,A0A078MGG8,UniRef100_A0A078MGG8,UniRef50_A0A2K9LJV9,UniRef90_A0A031MKR8,https://doi.org/10.1002/cssc.202202277,302
180,PbauzCut,1,126,Halopseudomonas bauzanensis,Pseudomonadota,PET,,SER72431;SER72431.1;SFL57825;SFL57825.1,,8AIT,WP_036989706.1,UPI0004466F51,A0A031MKR8,UniRef100_A0A031MKR8,UniRef50_A0A2K9LJV9,UniRef90_A0A031MKR8,https://doi.org/10.1002/cssc.202202277,302
181,AdCut,1,127,Acidovorax delafieldii,Pseudomonadota,PET,,BAB86909;BAB86909.1,,8C65,,UPI00000B131F,Q8RR62,UniRef100_Q8RR62,UniRef50_Q8RR62,UniRef90_Q8RR62,https://doi.org/10.1002/cssc.202202277,304
182,FoCut5a,1,128,Fusarium oxysporum,Ascomycota,PET,,EXK81749;EXK81749.1,,5AJH,,UPI00021C8383,X0BTD8,UniRef100_X0BTD8,UniRef50_P00590,UniRef90_A6N6J6;UniRef90_A0A9P8D5N6,https://doi.org/10.1016/j.bbagen.2015.08.009,230
183,MRCUT1,1,129,Moniliophthora roreri,Basidiomycota,PET,,ESK97883;ESK97883.1,,,XP_007842885.1,UPI0003BF2E80,V2XFA5,UniRef100_V2XFA5,UniRef50_A0A423WYU0;UniRef50_A0A3N2Q233,UniRef90_V2XFA5,https://doi.org/10.1128/Spectrum.00976-21,203
184,PET1,1,130,Deinococcus maricopensis,Deinococcota,PET,,ADV66860;ADV66860.1,,,,UPI0001F59C72,E8U721,UniRef100_E8U721,UniRef50_A0A4V0ZKB9;UniRef50_Q6A0I4,UniRef90_E8U721,https://doi.org/10.1016/j.jhazmat.2023.131574|https://doi.org/10.1128/aem.02773-17,315
185,SM14est,1,131,Streptomyces sp. SM14,Actinomycetota,PET,,DAC80635;DAC80635.1,,,,UPI0013A713B4,A0A679PDB4,UniRef100_A0A679PDB4,UniRef50_A0A543NNU7,UniRef90_A0A679PDB4,https://doi.org/10.3389/fmicb.2023.1170880|https://doi.org/10.3389/fmicb.2019.02187,284
186,IS10,1,132,Chloroflexi bacterium enrichment culture,Chloroflexota,PET,,UNZ81746,,,,,,,,,https://doi.org/10.1128/aem.01704-22,314
187,IS11,1,133,Dehalococcoidia bacterium,Chloroflexota,PET,,UNZ81747,,,,,,,,,https://doi.org/10.1128/aem.01704-22,455
188,IS12,1,132,Chloroflexi bacterium enrichment culture,Chloroflexota,PET,,UNZ81748,,,,,,,,,https://doi.org/10.1128/aem.01704-22,318
193,Lipozyme TL,1,134,Thermomyces lanuginosus,Ascomycota,PET,,,,,,,,,,,https://doi.org/10.1002/pola.22952|https://doi.org/10.1016/j.jbiotec.2009.07.008,
194,ApLip-Ec,1,137,Aquabacterium parvum,Pseudomonadota,PET,,,,,,,,,,,https://doi.org/10.1016/j.bej.2023.108985,
195,BurPL,1,138,Burkholderiales bacterium,Pseudomonadota,PET,,OGB27210,,7CWQ,,UPI0008AC801E,A0A1F4JXW8;A0ACD6BA14,UniRef100_A0ACD6BA14,UniRef50_A0ABQ4Q7Y9,UniRef90_A0ACD6BA14,https://doi.org/10.1016/j.jhazmat.2022.128267|https://doi.org/10.3390/molecules28083528|https://doi.org/10.1038/s41929-021-00616-y,426
196,PET40,1,139,Amycolatopsis bacterium,Actinomycetota,PET,,WAU86704,,,,,,,,,https://doi.org/10.1111/febs.16924,263
201,PaCut,1,145,Aquipseudomonas alcaligenes,Pseudomonadota,PET,,SUD16364,,,,,,,,,https://doi.org/10.1002/cssc.202202277,298
202,GlacPETase,1,12,Pseudomonas sp.,Pseudomonadota,PET,,,,,,,,,,,https://doi.org/10.1111/1462-2920.16516,
203,CaL,1,77,Moesziomyces antarcticus,Basidiomycota,PET,,,,,,,,,,,https://doi.org/10.1007/s13205-023-03555-6,
204,RmL,1,147,Rhizomucor miehei,Mucoromycota,PET,,,,,,,,,,,https://doi.org/10.1007/s13205-023-03555-6,
209,Lip4_120,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,,,,WP_108898452,,,,,,https://doi.org/10.1016/j.ijbiomac.2024.129538,417
210,Est8_89,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,CEE00769;CEE00769.1,,,WP_034768559.1,UPI000505A1EA,A0A090KQ36,UniRef100_A0A090KQ36,UniRef50_A0A090KQ36,UniRef90_A0A090KQ36,https://doi.org/10.1016/j.ijbiomac.2024.129538,266
211,Est11_32,1,151,Caldibacillus thermoamylovorans,Bacillota,PET,,,,,WP_041846030,,,,,,https://doi.org/10.1016/j.ijbiomac.2024.129538,256
