protein_id,protein_name,cluster
422,ESM061,pazy_proteins_cluster_27
474,TEP165,pazy_proteins_cluster_27
391,DP043,pazy_proteins_cluster_28
421,ESM060,pazy_proteins_cluster_28
429,ESM081,pazy_proteins_cluster_28
438,ESM128,pazy_proteins_cluster_28
445,ESM157,pazy_proteins_cluster_28
446,ESM159,pazy_proteins_cluster_28
447,ESM160,pazy_proteins_cluster_28
134,202,pazy_proteins_cluster_29
335,1340,pazy_proteins_cluster_29
137,214,pazy_proteins_cluster_29
36,BsEstB,pazy_proteins_cluster_3
136,211,pazy_proteins_cluster_3
236,dsPETase01,pazy_proteins_cluster_3
336,191,pazy_proteins_cluster_3
436,ESM101,pazy_proteins_cluster_3
440,ESM136,pazy_proteins_cluster_3
431,ESM084,pazy_proteins_cluster_30
471,TEP114,pazy_proteins_cluster_30
330,1475,pazy_proteins_cluster_31
329,1424,pazy_proteins_cluster_32
424,ESM064,pazy_proteins_cluster_32
31,Tcur0390,pazy_proteins_cluster_33
39,PET30,pazy_proteins_cluster_33
139,305,pazy_proteins_cluster_33
214,Ces39_5,pazy_proteins_cluster_33
319,1395,pazy_proteins_cluster_33
327,1392,pazy_proteins_cluster_33
339,PC5,pazy_proteins_cluster_33
389,DP039,pazy_proteins_cluster_33
391,DP043,pazy_proteins_cluster_33
393,DP056,pazy_proteins_cluster_33
395,DP059,pazy_proteins_cluster_33
397,DP068,pazy_proteins_cluster_33
399,DP080,pazy_proteins_cluster_33
439,ESM130,pazy_proteins_cluster_33
441,ESM139,pazy_proteins_cluster_33
38,PET27,pazy_proteins_cluster_34
138,301,pazy_proteins_cluster_34
238,dsPETase06,pazy_proteins_cluster_34
277,1538,pazy_proteins_cluster_34
293,385,pazy_proteins_cluster_34
323,1638,pazy_proteins_cluster_34
338,PC4,pazy_proteins_cluster_34
381,DP003,pazy_proteins_cluster_34
383,DP007,pazy_proteins_cluster_34
385,DP016,pazy_proteins_cluster_34
387,DP021,pazy_proteins_cluster_34
389,DP039,pazy_proteins_cluster_34
414,ESM038,pazy_proteins_cluster_34
438,ESM128,pazy_proteins_cluster_34
244,PD3,pazy_proteins_cluster_35
484,TA21,pazy_proteins_cluster_36
289,1477,pazy_proteins_cluster_37
140,307,pazy_proteins_cluster_37
307,1555,pazy_proteins_cluster_37
320,1478,pazy_proteins_cluster_37
21,TfH42_Cut1,pazy_proteins_cluster_38
42,CalB,pazy_proteins_cluster_38
142,405,pazy_proteins_cluster_38
242,ScPETase,pazy_proteins_cluster_38
294,1642,pazy_proteins_cluster_38
329,1424,pazy_proteins_cluster_38
420,ESM059,pazy_proteins_cluster_38
422,ESM061,pazy_proteins_cluster_38
424,ESM064,pazy_proteins_cluster_38
426,ESM069,pazy_proteins_cluster_38
428,ESM080,pazy_proteins_cluster_38
442,ESM140,pazy_proteins_cluster_38
325,1718,pazy_proteins_cluster_39
271,1628,pazy_proteins_cluster_4
272,1611,pazy_proteins_cluster_4
273,1625,pazy_proteins_cluster_4
274,1603,pazy_proteins_cluster_4
277,1538,pazy_proteins_cluster_4
279,1621,pazy_proteins_cluster_4
280,1617,pazy_proteins_cluster_4
281,1534,pazy_proteins_cluster_4
284,1525,pazy_proteins_cluster_4
292,1546,pazy_proteins_cluster_4
294,1642,pazy_proteins_cluster_4
297,1519,pazy_proteins_cluster_4
138,301,pazy_proteins_cluster_4
301,1637,pazy_proteins_cluster_4
303,1545,pazy_proteins_cluster_4
308,1591,pazy_proteins_cluster_4
309,1620,pazy_proteins_cluster_4
315,1309,pazy_proteins_cluster_4
311,1594,pazy_proteins_cluster_4
314,1641,pazy_proteins_cluster_4
321,1571,pazy_proteins_cluster_4
332,1635,pazy_proteins_cluster_4
396,DP061,pazy_proteins_cluster_4
419,ESM058,pazy_proteins_cluster_4
420,ESM059,pazy_proteins_cluster_4
423,ESM062,pazy_proteins_cluster_4
425,ESM065,pazy_proteins_cluster_4
426,ESM069,pazy_proteins_cluster_4
428,ESM080,pazy_proteins_cluster_4
436,ESM101,pazy_proteins_cluster_4
437,ESM121,pazy_proteins_cluster_4
439,ESM130,pazy_proteins_cluster_4
252,CYP450,pazy_proteins_cluster_4
450,ESM173,pazy_proteins_cluster_4
453,TEP010,pazy_proteins_cluster_4
302,1463,pazy_proteins_cluster_4
463,TEP092,pazy_proteins_cluster_4
469,TEP109,pazy_proteins_cluster_4
470,TEP111,pazy_proteins_cluster_4
330,1475,pazy_proteins_cluster_4
475,TEP168,pazy_proteins_cluster_4
262,APET-23,pazy_proteins_cluster_40
485,TA26,pazy_proteins_cluster_41
11,Mors1,pazy_proteins_cluster_42
35,Est119,pazy_proteins_cluster_42
136,211,pazy_proteins_cluster_42
151,611,pazy_proteins_cluster_42
154,711,pazy_proteins_cluster_42
187,IS11,pazy_proteins_cluster_42
211,Est11_32,pazy_proteins_cluster_42
272,1611,pazy_proteins_cluster_42
300,1169,pazy_proteins_cluster_42
311,1594,pazy_proteins_cluster_42
411,ESM026,pazy_proteins_cluster_42
470,TEP111,pazy_proteins_cluster_42
18,Cut190,pazy_proteins_cluster_43
35,Est119,pazy_proteins_cluster_43
195,BurPL,pazy_proteins_cluster_43
213,Ces19_14,pazy_proteins_cluster_43
260,APET-19,pazy_proteins_cluster_43
297,1519,pazy_proteins_cluster_43
319,1395,pazy_proteins_cluster_43
336,191,pazy_proteins_cluster_43
419,ESM058,pazy_proteins_cluster_43
479,TEP194,pazy_proteins_cluster_43
20,BTA-2,pazy_proteins_cluster_43
120,Cbotu_EstA,pazy_proteins_cluster_43
134,202,pazy_proteins_cluster_43
201,PaCut,pazy_proteins_cluster_43
261,APET-20,pazy_proteins_cluster_43
309,1620,pazy_proteins_cluster_43
320,1478,pazy_proteins_cluster_43
420,ESM059,pazy_proteins_cluster_43
21,TfH42_Cut1,pazy_proteins_cluster_43
136,211,pazy_proteins_cluster_43
210,Est8_89,pazy_proteins_cluster_43
212,Est18_23,pazy_proteins_cluster_43
214,Ces39_5,pazy_proteins_cluster_43
279,1621,pazy_proteins_cluster_43
283,1521,pazy_proteins_cluster_43
288,1821,pazy_proteins_cluster_43
321,1571,pazy_proteins_cluster_43
387,DP021,pazy_proteins_cluster_43
409,ESM021,pazy_proteins_cluster_43
421,ESM060,pazy_proteins_cluster_43
437,ESM121,pazy_proteins_cluster_43
484,TA21,pazy_proteins_cluster_43
22,Tfu_0883,pazy_proteins_cluster_43
223,HG-2,pazy_proteins_cluster_43
225,HG-4,pazy_proteins_cluster_43
227,jmPE13,pazy_proteins_cluster_43
291,1522,pazy_proteins_cluster_43
322,169,pazy_proteins_cluster_43
333,1228,pazy_proteins_cluster_43
422,ESM061,pazy_proteins_cluster_43
23,Tfu_0882,pazy_proteins_cluster_43
212,Est18_23,pazy_proteins_cluster_43
223,HG-2,pazy_proteins_cluster_43
230,TaC,pazy_proteins_cluster_43
232,RtC,pazy_proteins_cluster_43
236,dsPETase01,pazy_proteins_cluster_43
238,dsPETase06,pazy_proteins_cluster_43
262,APET-23,pazy_proteins_cluster_43
323,1638,pazy_proteins_cluster_43
423,ESM062,pazy_proteins_cluster_43
24,TfCut_1,pazy_proteins_cluster_43
224,HG-3,pazy_proteins_cluster_43
240,Dkca1,pazy_proteins_cluster_43
242,ScPETase,pazy_proteins_cluster_43
244,PD3,pazy_proteins_cluster_43
263,APET-24,pazy_proteins_cluster_43
310,1240,pazy_proteins_cluster_43
313,247,pazy_proteins_cluster_43
324,1868,pazy_proteins_cluster_43
329,1424,pazy_proteins_cluster_43
410,ESM024,pazy_proteins_cluster_43
424,ESM064,pazy_proteins_cluster_43
455,TEP024,pazy_proteins_cluster_43
25,TfCut_2,pazy_proteins_cluster_43
225,HG-4,pazy_proteins_cluster_43
251,Trypsin,pazy_proteins_cluster_43
256,APET-5,pazy_proteins_cluster_43
258,APET-15,pazy_proteins_cluster_43
264,APET-25,pazy_proteins_cluster_43
273,1625,pazy_proteins_cluster_43
284,1525,pazy_proteins_cluster_43
325,1718,pazy_proteins_cluster_43
425,ESM065,pazy_proteins_cluster_43
26,Cut1,pazy_proteins_cluster_43
226,HG-5,pazy_proteins_cluster_43
260,APET-19,pazy_proteins_cluster_43
262,APET-23,pazy_proteins_cluster_43
264,APET-25,pazy_proteins_cluster_43
266,APET-27,pazy_proteins_cluster_43
268,APET-29,pazy_proteins_cluster_43
326,401,pazy_proteins_cluster_43
411,ESM026,pazy_proteins_cluster_43
426,ESM069,pazy_proteins_cluster_43
485,TA26,pazy_proteins_cluster_43
27,Cut2,pazy_proteins_cluster_43
30,Tcur_1278,pazy_proteins_cluster_43
38,PET27,pazy_proteins_cluster_43
227,jmPE13,pazy_proteins_cluster_43
266,APET-27,pazy_proteins_cluster_43
270,Mipa-P,pazy_proteins_cluster_43
272,1611,pazy_proteins_cluster_43
274,1603,pazy_proteins_cluster_43
276,Kubu-P,pazy_proteins_cluster_43
278,1465,pazy_proteins_cluster_43
327,1392,pazy_proteins_cluster_43
427,ESM070,pazy_proteins_cluster_43
5,PLE628,pazy_proteins_cluster_43
28,Thc_Cut1,pazy_proteins_cluster_43
228,jmPE14,pazy_proteins_cluster_43
267,APET-28,pazy_proteins_cluster_43
271,1628,pazy_proteins_cluster_43
280,1617,pazy_proteins_cluster_43
282,1489,pazy_proteins_cluster_43
284,1525,pazy_proteins_cluster_43
286,1507,pazy_proteins_cluster_43
288,1821,pazy_proteins_cluster_43
328,486,pazy_proteins_cluster_43
331,282,pazy_proteins_cluster_43
333,1228,pazy_proteins_cluster_43
428,ESM080,pazy_proteins_cluster_43
438,ESM128,pazy_proteins_cluster_43
6,PLE629,pazy_proteins_cluster_43
29,Thc_Cut2,pazy_proteins_cluster_43
268,APET-29,pazy_proteins_cluster_43
290,1482,pazy_proteins_cluster_43
292,1546,pazy_proteins_cluster_43
294,1642,pazy_proteins_cluster_43
296,1537,pazy_proteins_cluster_43
298,1678,pazy_proteins_cluster_43
329,1424,pazy_proteins_cluster_43
429,ESM081,pazy_proteins_cluster_43
486,TA29,pazy_proteins_cluster_43
32,Thh_Est,pazy_proteins_cluster_43
132,101,pazy_proteins_cluster_43
211,Est11_32,pazy_proteins_cluster_43
232,RtC,pazy_proteins_cluster_43
269,APET-32,pazy_proteins_cluster_43
320,1478,pazy_proteins_cluster_43
322,169,pazy_proteins_cluster_43
324,1868,pazy_proteins_cluster_43
326,401,pazy_proteins_cluster_43
328,486,pazy_proteins_cluster_43
332,1635,pazy_proteins_cluster_43
432,ESM090,pazy_proteins_cluster_43
33,Est1,pazy_proteins_cluster_43
133,102,pazy_proteins_cluster_43
330,1475,pazy_proteins_cluster_43
332,1635,pazy_proteins_cluster_43
334,1876,pazy_proteins_cluster_43
336,191,pazy_proteins_cluster_43
338,PC4,pazy_proteins_cluster_43
412,ESM033,pazy_proteins_cluster_43
433,ESM093,pazy_proteins_cluster_43
34,Tha_Cut1,pazy_proteins_cluster_43
134,202,pazy_proteins_cluster_43
281,1534,pazy_proteins_cluster_43
334,1876,pazy_proteins_cluster_43
340,PC6,pazy_proteins_cluster_43
434,ESM096,pazy_proteins_cluster_43
35,Est119,pazy_proteins_cluster_43
135,204,pazy_proteins_cluster_43
235,LipMRD9,pazy_proteins_cluster_43
332,1635,pazy_proteins_cluster_43
335,1340,pazy_proteins_cluster_43
413,ESM035,pazy_proteins_cluster_43
435,ESM097,pazy_proteins_cluster_43
152,701,pazy_proteins_cluster_43
283,1521,pazy_proteins_cluster_43
291,1522,pazy_proteins_cluster_43
153,702,pazy_proteins_cluster_43
277,1538,pazy_proteins_cluster_43
281,1534,pazy_proteins_cluster_43
296,1537,pazy_proteins_cluster_43
154,711,pazy_proteins_cluster_43
292,1546,pazy_proteins_cluster_43
303,1545,pazy_proteins_cluster_43
335,1340,pazy_proteins_cluster_43
340,PC6,pazy_proteins_cluster_43
454,TEP014,pazy_proteins_cluster_43
188,IS12,pazy_proteins_cluster_44
2,PET5,pazy_proteins_cluster_45
5,PLE628,pazy_proteins_cluster_45
15,RgPETase,pazy_proteins_cluster_45
25,TfCut_2,pazy_proteins_cluster_45
35,Est119,pazy_proteins_cluster_45
135,204,pazy_proteins_cluster_45
139,305,pazy_proteins_cluster_45
142,405,pazy_proteins_cluster_45
145,409,pazy_proteins_cluster_45
147,503,pazy_proteins_cluster_45
150,607-Nsp,pazy_proteins_cluster_45
152,701,pazy_proteins_cluster_45
154,711,pazy_proteins_cluster_45
175,PHL-5,pazy_proteins_cluster_45
182,FoCut5a,pazy_proteins_cluster_45
185,SM14est,pazy_proteins_cluster_45
195,BurPL,pazy_proteins_cluster_45
214,Ces39_5,pazy_proteins_cluster_45
225,HG-4,pazy_proteins_cluster_45
235,LipMRD9,pazy_proteins_cluster_45
237,dsPETase05,pazy_proteins_cluster_45
251,Trypsin,pazy_proteins_cluster_45
256,APET-5,pazy_proteins_cluster_45
258,APET-15,pazy_proteins_cluster_45
264,APET-25,pazy_proteins_cluster_45
273,1625,pazy_proteins_cluster_45
275,1663,pazy_proteins_cluster_45
277,1538,pazy_proteins_cluster_45
281,1534,pazy_proteins_cluster_45
283,1521,pazy_proteins_cluster_45
285,1468,pazy_proteins_cluster_45
291,1522,pazy_proteins_cluster_45
293,385,pazy_proteins_cluster_45
295,917,pazy_proteins_cluster_45
297,1519,pazy_proteins_cluster_45
303,1545,pazy_proteins_cluster_45
305,1573,pazy_proteins_cluster_45
307,1555,pazy_proteins_cluster_45
311,1594,pazy_proteins_cluster_45
315,1309,pazy_proteins_cluster_45
317,1506,pazy_proteins_cluster_45
319,1395,pazy_proteins_cluster_45
321,1571,pazy_proteins_cluster_45
325,1718,pazy_proteins_cluster_45
330,1475,pazy_proteins_cluster_45
332,1635,pazy_proteins_cluster_45
335,1340,pazy_proteins_cluster_45
339,PC5,pazy_proteins_cluster_45
385,DP016,pazy_proteins_cluster_45
392,DP054,pazy_proteins_cluster_45
394,DP057,pazy_proteins_cluster_45
405,DP092,pazy_proteins_cluster_45
413,ESM035,pazy_proteins_cluster_45
415,ESM043,pazy_proteins_cluster_45
417,ESM050,pazy_proteins_cluster_45
419,ESM058,pazy_proteins_cluster_45
425,ESM065,pazy_proteins_cluster_45
435,ESM097,pazy_proteins_cluster_45
444,ESM156,pazy_proteins_cluster_45
446,ESM159,pazy_proteins_cluster_45
450,ESM173,pazy_proteins_cluster_45
452,ESM186,pazy_proteins_cluster_45
454,TEP014,pazy_proteins_cluster_45
456,TEP037,pazy_proteins_cluster_45
458,TEP054,pazy_proteins_cluster_45
465,TEP101,pazy_proteins_cluster_45
468,TEP105,pazy_proteins_cluster_45
474,TEP165,pazy_proteins_cluster_45
485,TA26,pazy_proteins_cluster_45
495,PET93,pazy_proteins_cluster_45
3,PET6,pazy_proteins_cluster_45
5,PLE628,pazy_proteins_cluster_45
16,LCC,pazy_proteins_cluster_45
26,Cut1,pazy_proteins_cluster_45
36,BsEstB,pazy_proteins_cluster_45
41,PET46,pazy_proteins_cluster_45
136,211,pazy_proteins_cluster_45
143,406,pazy_proteins_cluster_45
146,412,pazy_proteins_cluster_45
149,606,pazy_proteins_cluster_45
151,611,pazy_proteins_cluster_45
176,PHL-6,pazy_proteins_cluster_45
186,IS10,pazy_proteins_cluster_45
196,PET40,pazy_proteins_cluster_45
226,HG-5,pazy_proteins_cluster_45
236,dsPETase01,pazy_proteins_cluster_45
238,dsPETase06,pazy_proteins_cluster_45
256,APET-5,pazy_proteins_cluster_45
260,APET-19,pazy_proteins_cluster_45
262,APET-23,pazy_proteins_cluster_45
264,APET-25,pazy_proteins_cluster_45
266,APET-27,pazy_proteins_cluster_45
268,APET-29,pazy_proteins_cluster_45
271,1628,pazy_proteins_cluster_45
273,1625,pazy_proteins_cluster_45
275,1663,pazy_proteins_cluster_45
278,1465,pazy_proteins_cluster_45
280,1617,pazy_proteins_cluster_45
285,1468,pazy_proteins_cluster_45
292,1546,pazy_proteins_cluster_45
294,1642,pazy_proteins_cluster_45
296,1537,pazy_proteins_cluster_45
298,1678,pazy_proteins_cluster_45
300,1169,pazy_proteins_cluster_45
302,1463,pazy_proteins_cluster_45
306,1654,pazy_proteins_cluster_45
309,1620,pazy_proteins_cluster_45
314,1641,pazy_proteins_cluster_45
316,414,pazy_proteins_cluster_45
322,169,pazy_proteins_cluster_45
324,1868,pazy_proteins_cluster_45
326,401,pazy_proteins_cluster_45
328,486,pazy_proteins_cluster_45
332,1635,pazy_proteins_cluster_45
334,1876,pazy_proteins_cluster_45
336,191,pazy_proteins_cluster_45
340,PC6,pazy_proteins_cluster_45
382,DP006,pazy_proteins_cluster_45
385,DP016,pazy_proteins_cluster_45
393,DP056,pazy_proteins_cluster_45
396,DP061,pazy_proteins_cluster_45
406,ESM006,pazy_proteins_cluster_45
411,ESM026,pazy_proteins_cluster_45
416,ESM045,pazy_proteins_cluster_45
421,ESM060,pazy_proteins_cluster_45
423,ESM062,pazy_proteins_cluster_45
425,ESM065,pazy_proteins_cluster_45
434,ESM096,pazy_proteins_cluster_45
436,ESM101,pazy_proteins_cluster_45
440,ESM136,pazy_proteins_cluster_45
444,ESM156,pazy_proteins_cluster_45
446,ESM159,pazy_proteins_cluster_45
448,ESM167,pazy_proteins_cluster_45
452,ESM186,pazy_proteins_cluster_45
456,TEP037,pazy_proteins_cluster_45
459,TEP061,pazy_proteins_cluster_45
461,TEP083,pazy_proteins_cluster_45
463,TEP092,pazy_proteins_cluster_45
465,TEP101,pazy_proteins_cluster_45
467,TEP103,pazy_proteins_cluster_45
469,TEP109,pazy_proteins_cluster_45
472,TEP163,pazy_proteins_cluster_45
474,TEP165,pazy_proteins_cluster_45
476,TEP178,pazy_proteins_cluster_45
485,TA26,pazy_proteins_cluster_45
496,PET94,pazy_proteins_cluster_45
180,PbauzCut,pazy_proteins_cluster_45
452,ESM186,pazy_proteins_cluster_45
329,1424,pazy_proteins_cluster_46
150,607-Nsp,pazy_proteins_cluster_47
286,1507,pazy_proteins_cluster_47
317,1506,pazy_proteins_cluster_47
171,PHL-2,pazy_proteins_cluster_47
325,1718,pazy_proteins_cluster_47
242,ScPETase,pazy_proteins_cluster_47
336,191,pazy_proteins_cluster_47
462,TEP091,pazy_proteins_cluster_47
184,PET1,pazy_proteins_cluster_48
186,IS10,pazy_proteins_cluster_49
324,1868,pazy_proteins_cluster_49
452,ESM186,pazy_proteins_cluster_49
240,Dkca1,pazy_proteins_cluster_5
310,1240,pazy_proteins_cluster_5
226,HG-5,pazy_proteins_cluster_50
2,PET5,pazy_proteins_cluster_51
4,PET12,pazy_proteins_cluster_51
6,PLE629,pazy_proteins_cluster_51
12,PpEst,pazy_proteins_cluster_51
20,BTA-2,pazy_proteins_cluster_51
22,Tfu_0883,pazy_proteins_cluster_51
24,TfCut_1,pazy_proteins_cluster_51
26,Cut1,pazy_proteins_cluster_51
28,Thc_Cut1,pazy_proteins_cluster_51
30,Tcur_1278,pazy_proteins_cluster_51
32,Thh_Est,pazy_proteins_cluster_51
38,PET27,pazy_proteins_cluster_51
40,PET2,pazy_proteins_cluster_51
42,CalB,pazy_proteins_cluster_51
120,Cbotu_EstA,pazy_proteins_cluster_51
133,102,pazy_proteins_cluster_51
135,204,pazy_proteins_cluster_51
137,214,pazy_proteins_cluster_51
142,405,pazy_proteins_cluster_51
146,412,pazy_proteins_cluster_51
